15,Product 15,Description for Product 15,19.99,200,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
16,Product 16,Description for Product 16,149.95,22,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
17,Product 17,Description for Product 17,199.00,8,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
18,Product 18,Description for Product 18,9.99,150,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
19,Product 19,Description for Product 19,399.50,5,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
20,Product 20,Description for Product 20,29.99,70,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
21,Product 21,Description for Product 21,199.95,15,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
22,Product 22,Description for Product 22,499.00,7,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
23,Product 23,Description for Product 23,14.95,100,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
24,Product 24,Description for Product 24,249.50,10,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
25,Product 25,Description for Product 25,34.99,45,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
26,Product 26,Description for Product 26,179.95,9,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
27,Product 27,Description for Product 27,599.00,3,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
28,Product 28,Description for Product 28,6.95,80,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
29,Product 29,Description for Product 29,299.50,12,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
30,Product 30,Description for Product 30,24.99,60,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
31,Product 31,Description for Product 31,129.95,20,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
32,Product 32,Description for Product 32,199.00,15,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
33,Product 33,Description for Product 33,4.99,100,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
34,Product 34,Description for Product 34,59.50,30,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
35,Product 35,Description for Product 35,89.99,40,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
36,Product 36,Description for Product 36,499.00,8,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
37,Product 37,Description for Product 37,9.95,150,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
38,Product 38,Description for Product 38,199.50,25,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
39,Product 39,Description for Product 39,59.99,50,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
40,Product 40,Description for Product 40,179.95,18,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
41,Product 41,Description for Product 41,249.00,6,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
42,Product 42,Description for Product 42,29.99,80,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
43,Product 43,Description for Product 43,119.95,12,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
44,Product 44,Description for Product 44,299.50,5,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
45,Product 45,Description for Product 45,19.99,60,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
46,Product 46,Description for Product 46,149.95,25,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
47,Product 47,Description for Product 47,199.00,8,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
48,Product 48,Description for Product 48,9.95,150,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
49,Product 49,Description for Product 49,399.50,20,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
50,Product 50,Description for Product 50,29.99,40,https://cdn.vox-cdn.com/thumbor/etSDNLdv07EMvwLKpppO10O_69M=/0x0:3000x2000/1400x1400/filters:focal(1500x1000:1501x1001)/cdn.vox-cdn.com/uploads/chorus_asset/file/24720645/236676_06_How_to_start_a_smart_home_using_Amazon_Alexa_SHaddad.jpg
